"Broadcast_Event","string","NA","NA","""""","The event that should occur at the end of the delay period. See :doc:`parameter-campaign-event-list` for possible values.",".. code-block:: json

    {
      ""Broadcast_Event"": ""LTFU0""
    }
"
"Broadcast_On_Expiration_Event","string","NA","NA","""""","If the delay intervention expires before arriving at the end of the delay period, this specifies the event that should occur. For example, if loss to follow-up occurs at a high rate for the first 6 months of care, and then later transitions to a lower rate, then the **Expiration_Period** should be set to 183 days and **Broadcast_On_Expiration_Event** can link to another delay intervention with a longer average delay time until loss to follow up (LTFU). If LTFU does not occur in the first 6 months, then the expiration will allow the first rate to give way to the post-6-month rate. See the list of available events for possible values. See :doc:`parameter-campaign-event-list` for possible values.",".. code-block:: json

    {
      ""Broadcast_On_Expiration_Event"": ""OnART8""
    }
"
"Coverage","float","0","1","1","The proportion of individuals who receive the **DelayedIntervention** that actually receive the configured interventions.",".. code-block:: json

    {
      ""Coverage"": 1.0
    }
"
"Delay_Period_Constant","float","0","3.40282E+38","-1","The delay period to use for all interventions, in days, when **Delay_Period_Distribution** is set to CONSTANT_DISTRIBUTION.",".. code-block:: json

    {
      ""Delay_Period_Distribution"": ""CONSTANT_DISTRIBUTION"",
      ""Delay_Period_Constant"": 8
    }
"
"Delay_Period_Distribution","enum","NA","NA","NOT_INITIALIZED","The distribution type to use for assigning the delay period for distributing interventions. Each assigned value is a random draw from the distribution.

Possible values are:

NOT_INITIALIZED
    No distribution set. 
CONSTANT_DISTRIBUTION
    Use the same value for each individual. Set **Delay_Period_Constant**.
UNIFORM_DISTRIBUTION
    Use a `uniform`_ distribution with a given minimum and maximum. Set **Delay_Period_Max** and **Delay_Period_Min**.
GAUSSIAN_DISTRIBUTION
    The distribution is `Gaussian`_ (or normal). Values are resampled to ensure >= 0. Set **Delay_Period_Gaussian_Mean** and **Delay_Period_Gaussian_Std_Dev**.
EXPONENTIAL_DISTRIBUTION
    The distribution is `exponential`_ with a given mean. Set **Delay_Period_Exponential**.
WEIBULL_DISTRIBUTION
    Use a `Weibull`_ distribution with a given shape and scale. Set **Delay_Period_Kappa** and **Delay_Period_Lambda**.
LOG_NORMAL_DISTRIBUTION
    Use a `log-normal`_ distribution with a given mean and width. Set **Delay_Period_Log_Normal_Mean** and **Delay_Period_Log_Normal_Width**.
POISSON_DISTRIBUTION
    Use a `Poisson`_ distribution with a given mean. Set **Delay_Period_Poisson_Mean**. 
DUAL_CONSTANT_DISTRIBUTION
    Use a distribution where some individuals are set to a value of zero and the rest to a given value. Set **Delay_Period_Proportion_0** and **Peak_2_Value**. This distribution does not use the parameters set for CONSTANT_DISTRIBUTION.
DUAL_EXPONENTIAL_DISTRIBUTION
    Use two `exponential`_ distributions with given means. Set **Delay_Period_Mean_1**, **Delay_Period_Mean_2**, and **Delay_Period_Proportion_1**. This distribution does not use the parameters set for EXPONENTIAL_DISTRIBUTION.


.. _Gaussian: https://en.wikipedia.org/wiki/Normal_distribution

.. _exponential: https://en.wikipedia.org/wiki/Exponential_distribution

.. _Weibull: https://en.wikipedia.org/wiki/Weibull_distribution

.. _log-normal: https://en.wikipedia.org/wiki/Log-normal_distribution

.. _uniform: https://en.wikipedia.org/wiki/Uniform_distribution_(continuous)

.. _Poisson: https://en.wikipedia.org/wiki/Poisson_distribution

",".. code-block:: json

    {
      ""Delay_Period_Distribution"": ""GAUSSIAN_DISTRIBUTION"",
      ""Delay_Period_Gaussian_Mean"": 8,
      ""Delay_Period_Gaussian_Std_Dev"": 1.5
    }
"
"Delay_Period_Exponential","float","0","3.40282E+38","-1","The mean of the delay period, in days, when **Delay_Period_Distribution** is set to EXPONENTIAL_DISTRIBUTION.",".. code-block:: json

    {
      ""Delay_Period_Distribution"": ""EXPONENTIAL_DISTRIBUTION"",
      ""Delay_Period_Exponential"": 4.25
    }
"
"Delay_Period_Gaussian_Mean","float","0","3.40282E+38","-1","The mean of the delay period, in days, when **Delay_Period_Distribution** is set to GAUSSIAN_DISTRIBUTION.",".. code-block:: json

    {
      ""Delay_Period_Distribution"": ""GAUSSIAN_DISTRIBUTION"",
      ""Delay_Period_Gaussian_Mean"": 8,
      ""Delay_Period_Gaussian_Std_Dev"": 1.5
    }
"
"Delay_Period_Gaussian_Std_Dev","float","1.17549E-38","3.40282E+38","-1","The standard deviation of the delay period, in days, when **Delay_Period_Distribution** is set to GAUSSIAN_DISTRIBUTION.",".. code-block:: json

    {
      ""Delay_Period_Distribution"": ""GAUSSIAN_DISTRIBUTION"",
      ""Delay_Period_Gaussian_Mean"": 8,
      ""Delay_Period_Gaussian_Std_Dev"": 1.5
    }
"
"Delay_Period_Kappa","float","1.17549E-38","3.40282E+38","-1","The shape value for the delay period, in days, when **Delay_Period_Distribution** is set to WEIBULL_DISTRIBUTION.",".. code-block:: json

    {
      ""Delay_Period_Distribution"": ""WEIBULL_DISTRIBUTION"",
      ""Delay_Period_Kappa"": 0.9,
      ""Delay_Period_Lambda"": 1.5
    }
"
"Delay_Period_Lambda","float","1.17549E-38","3.40282E+38","-1","The scale value for the delay period, in days, when **Delay_Period_Distribution** is set to WEIBULL_DISTRIBUTION.",".. code-block:: json

    {
      ""Delay_Period_Distribution"": ""WEIBULL_DISTRIBUTION"",
      ""Delay_Period_Kappa"": 0.9,
      ""Delay_Period_Lambda"": 1.5
    }
"
